0,
0.2,
0.4,
0.6,
0.8,
0.999,
1,252
1.2,250
1.4,248
1.6,245
1.8,241
1.949,237.5
1.95,237.5
2,236.5
2.2,231.5
2.4,226
2.6,220.15
2.75,216
2.8,214.3
3.001,208.45
3,208.45
3.2,202.6
3.4,196.75
3.53,193
3.6,190.9
3.8,185.05
4,179.2
4.2,173.35
4.4,167.5
4.52,164
4.6,161.65
4.8,155.8
5,150
5.2,150
5.4,150
5.6,150
5.8,150
5.8001,
6,
